Test name,Test ID,MS7E06 MSI PRO Z790-P #1 v0.9.1
"Platform suspend and resume (Ubuntu 22.04, press key)",SUSP002.001,PASS
"Platform suspend and resume (Ubuntu 22.04, power button)",SUSP003.001,PASS
Cyclic platform suspend and resume (Ubuntu 22.04),SUSP005.001,PASS
Verify the firmware version,DMI002.001,PASS
Verify the firmware product name,DMI003.001 ,PASS
Verify the firmware release date,DMI004.001,PASS
Verify the firmware manufacturer,DMI005.001,PASS
Verify the firmware vendor,DMI006.001 ,PASS
Verify the firmware type,DMI008.001 ,PASS
Replace logo in existing image and flashing firmware,LCM001.001,PASS
Check replaced logo in existing firmware image,LCM001.002,PASS
Windows 11 installation and boot,WBT001.001,PASS
Ubuntu LTS installation on Hard Disk,LBT004.001,PASS
Boot Ubuntu From Hard Disk,LBT004.002,PASS
Check Power State After Power Failure default state (firmware),PSF001.001,PASS
Powered Off State Restoration Test,PSF002.001,PASS
Powered On State Restoration Test,PSF003.001,PASS
Previous Power State Restoration Test - Powered Off,PSF004.001,PASS
Previous Power State Restoration Test - Powered On,PSF004.002,PASS
DTS option Creating Dasharo HCL report works correctly,DTS002.001,PASS
DTS option reboot DUT works correctly,DTS003.001,PASS
DTS accessing shell works correctly,DTS004.001,PASS
DTS option power-off DUT works correctly,DTS008.001,PASS
Boot Fedora,FED001.002,PASS
F9 resets Enable USB stack option to default,RTD001.001,PASS
F9 resets Enable USB Mass Storage driver option to default,RTD002.001,PASS
F9 resets Lock the BIOS boot medium option to default,RTD003.001,PASS
F9 resets Enable SMM BIOS write protection to default,RTD004.001,PASS
F9 resets Early boot DMA Protection to default,RTD005.001,PASS
F9 resets Enable network boot to default,RTD006.001,PASS
F9 resets Intel ME mode to default,RTD007.001,PASS
F9 resets Enable PS2 Controller to default,RTD008.001,PASS
F9 resets Enable watchdog to default,RTD009.001,PASS
F9 resets Enable watchdog to default,RTD010.001,PASS
NET controller after suspend (Ubuntu 22.04),NET004.001,PASS
Serial boot measure: coreboot booting time after cold boot,CBMEM001.001,PASS
Serial boot measure: coreboot booting time after warm boot,CBMEM002.001,PASS
Serial boot measure: coreboot booting time after system reboot,CBMEM003.001,PASS
CPU not stuck on initial frequency (Ubuntu 22.04),CPF001.001,PASS
CPU not stuck on initial frequency (Windows 11),CPF001.002,PASS
CPU runs on expected frequency (Ubuntu 22.04),CPF002.001,PASS
CPU runs on expected frequency (Windows 11),CPF002.002,PASS
CPU with load runs on expected frequency (Ubuntu 22.04),CPF004.001,PASS
CPU with load runs on expected frequency (Windows 11),CPF004.002,PASS
Firmware Update Mode,,PASS
Verify SMMSTORE changes,DCU004.001,PASS
ESP Scan with OS-specific .efi files added,ESP001.001,PASS
ESP Scan after deleting additional .efi files,ESP002.001,PASS
ESP Scan ignores OSes on removable media,ESP003.001,PASS
ESP Scan does not create duplicate entries,ESP004.001,PASS
ESP Scan detects Dasharo Tools Suite,ESP005.001,FAIL
Switching to XMP profile,MPS001.001,PASS
Switching back to JEDEC profile,MPS002.001,PASS
Booting at XMP profile 1,MPS003.001,FAIL
Check that all options in OptionROMs are available,SOR001.001,PASS
Check if Resizeable BARs option is present,RBE001.001,PASS
2x warmboot cycle (AC) (Windows 11),SPM006.002,PASS
SATA LED and PC speaker error indication support (firmware),ERR001.001,NOT TESTED
PC speaker beep during boot (firmware),ERR002.001,NOT TESTED
